date,symbol,action,price,quantity,cost
2021-12-31,0857.HK,sell,2.5157113075256348,6901.340489059277,17.361780305410917
2021-12-31,3988.HK,sell,2.0149548053741455,8728.431885660473,17.587395771392483
2021-12-31,2382.HK,sell,239.12367248535156,74.18074787677969,17.738372860005505
2021-12-31,0005.HK,sell,35.95260238647461,515.1620062417176,18.521414775027026
2021-12-31,2382.HK,buy,239.12367248535156,71.71772377131244,17.149405490486227
2021-12-31,3988.HK,buy,2.0149548053741455,8511.062106577549,17.149405490486227
2021-12-31,0941.HK,buy,35.09431838989258,488.6661510264688,17.149405490486227
2021-12-31,0005.HK,buy,35.95260238647461,477.0003936331976,17.149405490486227
2021-12-31,0066.HK,buy,35.470035552978516,483.4899436419129,17.149405490486227
2022-01-31,2382.HK,sell,193.93646240234375,71.71772377131244,13.908681639756809
2022-01-31,3988.HK,sell,2.1727092266082764,8511.062106577549,18.492063167197113
2022-01-31,0941.HK,sell,39.556095123291016,488.6661510264688,19.329724753535494
2022-01-31,0005.HK,sell,42.23855972290039,477.0003936331976,20.14780961432281
2022-01-31,0066.HK,sell,35.76668167114258,483.4899436419129,17.292830905438965
2022-01-31,0005.HK,buy,42.23855972290039,420.62861187021656,17.76674674364083
2022-01-31,0939.HK,buy,4.270988464355469,4159.867649355029,17.76674674364083
2022-01-31,3988.HK,buy,2.1727092266082764,8177.2316912262295,17.76674674364083
2022-01-31,0883.HK,buy,6.170436382293701,2879.3339146357907,17.76674674364083
2022-01-31,0066.HK,buy,35.76668167114258,496.74014791188944,17.76674674364083
2022-02-28,0005.HK,sell,41.47197723388672,420.62861187021656,17.444300215402993
2022-02-28,0939.HK,sell,4.1852827072143555,4159.867649355029,17.410222137146032
2022-02-28,3988.HK,sell,2.179879903793335,8177.2316912262295,17.825383032366044
2022-02-28,0883.HK,sell,6.565556049346924,2879.3339146357907,18.904428201326777
2022-02-28,0066.HK,sell,34.28346633911133,496.74014791188944,17.029974140222443
2022-02-28,0857.HK,buy,3.0232033729553223,5851.852652586073,17.691340677335766
2022-02-28,0883.HK,buy,6.565556049346924,2694.5685246408834,17.691340677335766
2022-02-28,0005.HK,buy,41.47197723388672,426.58541640209495,17.691340677335766
2022-02-28,3988.HK,buy,2.179879903793335,8115.7409848818015,17.691340677335766
2022-02-28,1398.HK,buy,3.3974697589874268,5207.210639781662,17.691340677335766
2022-03-31,0857.HK,sell,2.9434545040130615,5851.852652586073,17.22466204707526
2022-03-31,0883.HK,sell,7.072625160217285,2694.5685246408834,19.05767314330468
2022-03-31,0005.HK,sell,42.77476501464844,426.58541640209495,18.247090945275566
