date,action,price,position,pnl,capital,strength
2021-07-19,open_short,30817.83203125,-0.792997962534351,0.0,122192.39005253553,1.0
2021-07-23,stop_loss,33550.43219866072,-0.792997962534351,-2166.946365177725,120025.44368735781,
2021-08-06,open_long,42816.5,0.47857247929995406,0.0,120025.44368735781,1.0
2021-08-23,take_profit,50340.466517857145,0.47857247929995406,3600.763310620736,123626.20699797854,
2021-09-06,open_long,52633.53515625,0.46976212648828125,0.0,123626.20699797854,0.9043246855968203
2021-09-07,stop_loss,48688.017857142855,0.46976212648828125,-1853.4545965248724,121772.75240145368,
2021-10-05,open_long,51514.8125,0.4727679146709646,0.0,121772.75240145368,1.0
2021-10-15,take_profit,59025.85072544643,0.4727679146709646,3550.97787885821,125323.73028031188,
2021-10-15,open_long,61593.94921875,0.40693520019385837,0.0,125323.73028031188,1.0
2021-11-19,stop_loss,56155.174107142855,0.40693520019385837,-2213.229038851228,123110.50124146065,
2021-12-04,open_short,49200.703125,-0.35591140921991943,0.0,123110.50124146065,1.0
2022-01-21,take_profit,38823.640345982145,-0.35591140921991943,3693.315037243818,126803.81627870447,
2022-01-21,open_short,36457.31640625,-0.6956289095209766,0.0,126803.81627870447,1.0
2022-02-04,stop_loss,40081.31194196428,-0.6956289095209766,-2520.9560626178136,124282.86021608666,
2022-03-25,open_long,44348.73046875,0.5604799005629334,0.0,124282.86021608666,1.0
2022-04-11,stop_loss,41612.65122767857,0.5604799005629334,-1533.51742096802,122749.34279511863,
2022-04-26,open_short,38117.4609375,-0.6440583384941976,0.0,122749.34279511863,1.0
2022-05-09,take_profit,33679.797154017855,-0.6440583384941976,2858.1143631853847,125607.45715830402,
2022-05-09,open_short,30296.953125,-0.6958449921970228,0.0,125607.45715830402,1.0
2022-06-13,take_profit,24881.632533482145,-0.6958449921970228,3768.2237147491187,129375.68087305315,
2022-06-13,open_short,22487.388671875,-0.8501249113981597,0.0,129375.68087305315,1.0
2022-06-18,take_profit,17921.859095982145,-0.8501249113981597,3881.270426191591,133256.95129924474,
2022-08-19,open_short,20877.552734375,-1.2765571999234995,0.0,133256.95129924474,1.0
2022-11-08,take_profit,18140.1171875,-1.2765571999234995,3494.4930566898033,136751.44435593454,
2022-11-09,open_short,15880.7802734375,-1.5817312300745907,0.0,136751.44435593454,1.0
2022-11-10,stop_loss,17609.916573660714,-1.5817312300745907,-2735.028887118691,134016.41546881586,
2023-01-13,open_long,19909.57421875,1.346250944358266,0.0,134016.41546881586,1.0
2023-01-14,take_profit,20973.2265625,1.346250944358266,1431.9429722423204,135448.35844105817,
2023-01-14,open_long,20976.298828125,1.2914419226279248,0.0,135448.35844105817,1.0
2023-01-20,take_profit,22266.204241071428,1.2914419226279248,1665.8379265037017,137114.19636756188,
2023-01-20,open_long,22676.552734375,1.2093037065524763,0.0,137114.19636756188,1.0
2023-02-16,take_profit,24751.880998883928,1.2093037065524763,2509.702162583764,139623.89853014564,
2023-03-14,open_long,24746.07421875,1.1284529198118478,0.0,139623.89853014564,1.0
2023-03-19,take_profit,27800.924246651786,1.1284529198118478,3447.2544335730754,143071.15296371872,
2023-03-19,open_long,28038.67578125,1.020527175248363,0.0,143071.15296371872,1.0
2023-06-14,stop_loss,25340.51981026786,1.020527175248363,-2753.5414914459084,140317.6114722728,
2023-06-14,open_short,25124.67578125,-1.11697052486535,0.0,140317.6114722728,1.0
2023-06-19,stop_loss,26795.56863839286,-1.11697052486535,-1866.3380716366232,138451.2734006362,
2023-08-17,open_short,26664.55078125,-1.038466948394964,0.0,138451.2734006362,1.0
2023-08-29,stop_loss,27904.998046875,-1.038466948394964,-1288.163486578471,137163.1099140577,
2023-10-16,open_long,28519.466796875,0.9618911243395846,0.0,137163.1099140577,0.6076307730853089
2023-10-23,take_profit,30454.280133928572,0.9618911243395846,1861.0797761656845,139024.1896902234,
2023-10-23,open_long,33086.234375,0.8403748103487428,0.0,139024.1896902234,1.0
2023-11-09,take_profit,36116.59388950893,0.8403748103487428,2546.6378022939484,141570.82749251736,
2023-12-02,open_long,39476.33203125,0.7172440812406177,0.0,141570.82749251736,0.5226163975399758
2023-12-05,take_profit,42643.59040178571,0.7172440812406177,2271.697320026541,143842.5248125439,
2023-12-05,open_long,44080.6484375,0.6526334339953818,0.0,143842.5248125439,1.0
2023-12-11,stop_loss,41621.72265625,0.6526334339953818,-1604.7771765569644,142237.74763598695,
2024-01-08,open_long,46970.50390625,0.6056471010823475,0.0,142237.74763598695,1.0
2024-01-12,stop_loss,43236.93303571428,0.6056471010823475,-2261.2263744254537,139976.5212615615,
2024-02-07,open_long,44318.22265625,0.6316883343778285,0.0,139976.5212615615,1.0
2024-02-09,take_profit,47745.79296875,0.6316883343778285,2165.156181666018,142141.6774432275,
2024-02-09,open_long,47147.19921875,0.6029697619310506,0.0,142141.6774432275,1.0
2024-02-14,take_profit,50801.22181919643,0.6029697619310506,2203.2651374818606,144344.94258070935,
2024-02-14,open_long,51826.6953125,0.5570293136012283,0.0,144344.94258070935,1.0
