date,equity,hk_weight,btc_weight,hk_return,btc_return,portfolio_return
2021-11-05,104676.49322580578,0.2,0.2,-0.021623483712933322,-0.0010608348119495181,-0.004536863704976568
2021-11-08,105275.04130009108,0.2,0.2,0.007643640111659966,0.020946736573682845,0.005718075337068562
2021-11-09,105191.47558140932,0.2,0.2,-0.0020736728118990744,-0.00189525076437147,-0.0007937847152541089
2021-11-10,105016.80194856913,0.2,0.2,-0.001994648842401525,-0.006308002673548141,-0.0016605303031899334
2021-11-11,105055.80760116213,0.2,0.2,0.0020025025995171752,-0.00014538774412053979,0.0003714229710793271
2021-11-12,105021.87320445137,0.2,0.2,0.0009353807479388632,-0.0025504459920987488,-0.0003230130488319771
2021-11-15,104963.11355175453,0.2,0.2,-0.0008715404256246506,-0.0019259555104100823,-0.0005594991872069465
2021-11-16,104879.73766672787,0.2,0.2,0.0069875243387536035,-0.010959199825759103,-0.0007943350974010997
2021-11-17,104918.69733545717,0.2,0.2,0.0011828288019837263,0.0006745208441938377,0.0003714699292355128
2021-11-18,104580.40154192998,0.2,0.2,-0.004953284712436723,-0.011168522082664722,-0.003224361359020289
2021-11-19,104555.59704454192,0.2,0.2,0.0014086083256614756,-0.0025945139553178453,-0.00023718112593127392
2021-11-22,104353.7806167702,0.2,0.2,-0.009651153715173999,0.0,-0.0019302307430348
2021-11-23,104316.9465323217,0.2,0.2,-0.0017648658357557467,0.0,-0.0003529731671511494
2021-11-24,104415.76748385301,0.2,0.2,0.004736572283616569,0.0,0.0009473144567233139
2021-11-25,104377.77382741732,0.2,0.2,-0.0018193447862925316,0.0,-0.00036386895725850634
2021-11-26,103897.45802622003,0.2,0.2,-0.023008528711843224,0.0,-0.004601705742368645
2021-11-29,103778.07743396518,0.2,0.2,-0.005745116123280103,0.0,-0.0011490232246560207
2021-11-30,103436.39433021536,0.2,0.2,-0.016462200505074742,0.0,-0.003292440101014949
2021-12-01,103483.28185488125,0.2,0.2,0.0022664906762026593,0.0,0.00045329813524053186
2021-12-02,103511.14620853087,0.2,0.2,0.001346321509627657,0.0,0.0002692643019255314
2021-12-03,103701.25595646366,0.2,0.2,0.009183056844419113,0.0,0.0018366113688838227
2021-12-06,103333.9907812709,0.2,0.2,-0.013712721697057062,-0.003995124355788526,-0.0035415692105691178
2021-12-07,103513.79810181826,0.2,0.2,0.009041239534250067,-0.00034094066899259534,0.0017400597730514945
2021-12-08,103676.04019761154,0.2,0.2,0.007269700699824133,0.0005670369510195616,0.0015673475301687392
2021-12-09,104019.51966052128,0.2,0.2,0.0083448029485238,0.008220232823244356,0.003313007154353631
2021-12-10,103940.10582633814,0.2,0.2,-0.0050515066165172096,0.0012342502764421948,-0.0007634512680150028
2021-12-13,103821.21768802385,0.2,0.2,-0.007173174505452629,0.0014541049812728524,-0.0011438139048359553
2021-12-14,103593.11545185256,0.2,0.2,-0.011343719544689823,0.00035838141964861236,-0.0021970676250082422
2021-12-15,103325.91351862137,0.2,0.2,-0.006342458409679064,-0.0065542448155160304,-0.002579340645039019
2021-12-16,103672.90144062713,0.2,0.2,0.013234400572053273,0.0035565432575030975,0.0033581887659112743
2021-12-17,103728.26933831107,0.2,0.2,-0.001541323579395848,0.004211640360085589,0.0005340633561379481
2021-12-20,103181.70174648402,0.2,0.2,-0.024402497840072424,-0.0019436272477962868,-0.005269225017573743
2021-12-21,103084.7575648139,0.2,0.2,0.0012074944079143446,-0.005905235384715324,-0.000939548195360196
2021-12-22,103388.60083971763,0.2,0.2,0.013847506713604574,0.0008900394610897866,0.0029475092349388722
2021-12-23,103523.6200296367,0.2,0.2,0.012752457189712185,-0.006222762967019735,0.0013059388445384903
2021-12-24,103565.41795530076,0.2,0.2,0.00212812741712165,-0.00010936466268529621,0.00040375255088727087
2021-12-28,103668.13230139377,0.2,0.2,-0.004432671639560848,0.009391583027208883,0.000991782277529607
2021-12-29,103882.47322244303,0.2,0.2,0.007045470218189909,0.0032923701716673914,0.00206756807797146
2021-12-30,103823.01798141502,0.2,0.2,-0.0007581251207089412,-0.002103533789774792,-0.0005723317820967467
2021-12-31,103855.89658177596,0.2,0.2,-0.00092197252307058,0.002505369008753089,0.0003166792971365018
2022-01-03,103978.87350306407,0.2,0.2,0.006355399205773882,-0.0004348436410125389,0.0011841111129522687
2022-01-04,104178.19635893575,0.2,0.2,0.007976999444488042,0.001607777210444583,0.0019169553309865252
2022-01-05,104402.6150544361,0.2,0.2,0.0041027050505977325,0.006668200155283577,0.002154181041176262
2022-01-06,104379.78212578209,0.2,0.2,-0.002254342912374696,0.001160839237102529,-0.00021870073505443348
2022-01-07,104549.46637481697,0.2,0.2,0.0035734071767064,0.0045548071948469104,0.0016256428743106621
2022-01-10,104739.48248400223,0.2,0.2,0.009832288944528367,-0.0007449107027285296,0.0018174756483599675
2022-01-11,104682.78206089871,0.2,0.2,-0.00011788347444185998,-0.0025888524077117836,-0.0005413471764307287
2022-01-12,104811.67802950567,0.2,0.2,0.009599635405001417,-0.003443132584319275,0.0012313005641364284
2022-01-13,104924.76073781458,0.2,0.2,0.0015286486467127602,0.003865917609400249,0.0010789132512226019
2022-01-14,104981.87891622484,0.2,0.2,0.0041633181880280645,-0.0014414545397991585,0.0005443727296457813
2022-01-17,104980.88717411156,0.2,0.2,-0.0024595662610027436,0.0024123322943638836,-9.446793327771942e-06
2022-01-18,104920.70381754848,0.2,0.2,-0.0025119074733508384,-0.00035448840989482644,-0.0005732791766491329
2022-01-19,104884.23091880232,0.2,0.2,-0.0035278992190095337,0.0017897818875827198,-0.00034762346628536284
2022-01-20,105006.06770678792,0.2,0.2,0.0027973033609642872,0.003010852303537259,0.0011616311329003095
2022-01-21,105001.84305712533,0.2,0.2,-0.005440045882438849,0.0052388837136778665,-4.023243375219634e-05
2022-01-24,105047.96972357765,0.2,0.2,0.003277249517885217,-0.0010807801460462896,0.0004392938743677854
2022-01-25,104836.08160317945,0.2,0.2,-0.00843954270434033,-0.0016457602746590139,-0.002017060595799869
2022-01-26,105073.89373682717,0.2,0.2,0.010781651109597057,0.0005604426624632453,0.0022684187544120605
2022-01-27,105048.95522332293,0.2,0.2,0.0003862732278123726,-0.001572986340714455,-0.0002373426225804165
2022-01-28,104947.46722924235,0.2,0.2,-0.0012728139316509068,-0.003557695513437542,-0.0009661018890176898
2022-01-31,104810.19173426647,0.2,0.2,-0.002678603197361018,-0.003861597276273443,-0.0013080400947268922
2022-02-04,105041.16905411644,0.2,0.2,0.019884810567529776,-0.008865971844497889,0.002203767744606377
2022-02-07,105296.78277906272,0.2,0.2,0.012167311505005829,0.0,0.002433462301001166
2022-02-08,105355.72889646572,0.2,0.2,0.0027990464593150577,0.0,0.0005598092918630116
2022-02-09,105477.60581877691,0.2,0.2,0.00578406715931723,0.0,0.001156813431863446
2022-02-10,105479.98138088932,0.2,0.2,0.00011260978545957201,0.0,2.2521957091914403e-05
2022-02-11,105545.39951313341,0.2,0.2,0.0031009738240215245,0.0,0.000620194764804305
2022-02-14,105502.97703749307,0.2,0.2,-0.002009679049775115,0.0,-0.000401935809955023
2022-02-15,105114.31383878412,0.2,0.2,-0.018419537041633793,0.0,-0.003683907408326759
2022-02-16,105289.43458298677,0.2,0.2,0.008330014143993036,0.0,0.0016660028287986074
2022-02-17,105232.73301092621,0.2,0.2,-0.002692652509965643,0.0,-0.0005385305019931286
2022-02-18,105281.52144161459,0.2,0.2,0.0023181204788871312,0.0,0.0004636240957774263
2022-02-21,105422.1369046715,0.2,0.2,0.006678069481303561,0.0,0.0013356138962607124
2022-02-22,105117.16998498279,0.2,0.2,-0.014464083571198882,0.0,-0.0028928167142397766
2022-02-23,105176.82708709259,0.2,0.2,0.0028376478418481454,0.0,0.0005675295683696291
2022-02-24,104888.24296370088,0.2,0.2,-0.013718997396296784,0.0,-0.002743799479259357
2022-02-25,104527.07037628505,0.2,0.2,-0.017217019620627383,0.0,-0.003443403924125477
2022-02-28,104550.94359223954,0.2,0.2,0.001141963314792438,0.0,0.0002283926629584876
2022-03-01,104499.22764972612,0.2,0.2,-0.002473241308806995,0.0,-0.000494648261761399
2022-03-02,104422.86193066923,0.2,0.2,-0.003653889161404744,0.0,-0.0007307778322809489
2022-03-03,104815.77344083604,0.2,0.2,0.01881348121006665,0.0,0.0037626962420133307
2022-03-04,104566.66785362185,0.2,0.2,-0.011883020037761538,0.0,-0.0023766040075523078
2022-03-07,104407.14394962485,0.2,0.2,-0.007627856336606231,0.0,-0.0015255712673212464
2022-03-08,104033.77274302456,0.2,0.2,-0.017880539227298375,0.0,-0.003576107845459675
2022-03-09,103921.76043614016,0.2,0.2,-0.005383458848554512,0.0,-0.0010766917697109025
2022-03-10,104005.14702117622,0.2,0.2,0.0040119886675369365,0.0,0.0008023977335073874
2022-03-11,103805.8903290589,0.2,0.2,-0.00957917458050217,0.0,-0.0019158349161004342
2022-03-14,103579.91213544772,0.2,0.2,-0.010884651771437603,0.0,-0.002176930354287521
2022-03-15,102800.45666527894,0.2,0.2,-0.03762580282697714,0.0,-0.007525160565395428
2022-03-16,102994.36638661857,0.2,0.2,0.009431364783280882,0.0,0.0018862729566561766
2022-03-17,103773.25162695804,0.2,0.2,0.03781203126274435,0.0,0.0075624062525488705
2022-03-18,104010.082862377,0.2,0.2,0.011410996172227517,0.0,0.0022821992344455033
2022-03-21,103951.62181650662,0.2,0.2,-0.002810354739729015,0.0,-0.000562070947945803
2022-03-22,104460.16158917376,0.2,0.2,0.024460405897505533,0.0,0.004892081179501107
2022-03-23,104412.48944016141,0.2,0.2,-0.002281833968428737,0.0,-0.00045636679368574743
2022-03-24,104540.5830310895,0.2,0.2,0.00613401670695235,0.0,0.00122680334139047
2022-03-25,104587.13119761083,0.2,0.2,0.002226320399775883,0.0,0.0004452640799551766
2022-03-28,105158.76890722229,0.2,0.2,0.014794577835015366,0.012533722648310652,0.005465660096665204
2022-03-29,105352.53786640965,0.2,0.2,0.0077089658749582846,0.001504196336854502,0.0018426324423625575
2022-03-30,105541.37558909986,0.2,0.2,0.010754698348362624,-0.0017925163964828128,0.0017924363903759621
2022-03-31,105252.57807472924,0.2,0.2,-0.006892070958909091,-0.006789649255491748,-0.002736344042880168
2022-04-01,105365.21481985049,0.2,0.2,0.0020180923909682846,0.0033326908003594724,0.0010701566382655514
2022-04-04,105530.89091761343,0.2,0.2,0.006337329724204865,0.0015246623974929374,0.0015723984243395607
2022-04-06,105484.561300874,0.2,0.2,0.0130534493386536,-0.015248523043451478,-0.00043901474095957597
2022-04-07,105330.99161545512,0.2,0.2,-0.00862606324372217,0.0013468138670829077,-0.0014558498753278527
2022-04-08,105382.71283316819,0.2,0.2,0.007960790742924884,-0.005505615066714653,0.0004910351352420462
2022-04-11,105013.04449391461,0.2,0.2,-0.014466652056920881,-0.0030726733843776666,-0.0035078650882597096
